name,salary,years_experience
Jeffry Lubowitz,92054.7916546,5
Aurelia Shanahan,71259.1769591,8
Bobbie Hansen,31512.3290592,1
Kaya Bartoletti,56551.2219993,1
Jaqueline Grimes,54330.8094831,0
Kade Cremin,52578.4206484,1
Rusty Emmerich,43104.0388494,5
Jadyn Mills,41316.0591626,5
Celia Bins,18061.270941799998,7
Kaylie Runolfsdottir,54908.85858790001,3
Theresa Collins,35888.788690400004,2
Alexane Haley,54042.79976930001,1
Abbey Ziemann,42864.5023151,2
Brandy Kassulke,48697.6320671,4
Francis Robel,70109.20455519999,7
Aracely Powlowski,52086.288745,5
Ebba Eichmann,34531.863234699995,1
Mylene Veum,27433.405804100003,3
Tobin McKenzie,70505.3630575,2
Maryse Reynolds,38528.805578,4
Dedric O'Hara,49379.6927791,2
Brianne O'Keefe,47317.680313699995,2
Geovanni Rolfson,57487.78779550001,1
Monroe Abbott,50915.2709179,6
Quinn Yundt,54822.6484782,3
Karen Stamm,36016.0722705,2
Erich Shanahan,51157.0370399,1
Lavinia Schmitt,57138.8998111,6
Elisabeth Cronin,61660.6555209,1
Michael Rippin,96117.92154489999,2
Braeden Doyle,25123.313652599998,4
Beverly Corwin,48528.1856306,4
Burnice Collier,48187.94357830001,2
Leilani Langworth,63123.12286059999,4
Benedict Spinka,59016.557066400004,1
Brayan Reinger,70533.63941619999,4
Rodrigo Schulist,76732.8632615,2
Mayra Gleason,72661.57774319999,4
Effie Gutmann,38765.164506400004,5
Allene Grant,75676.73053470001,7
Melyna Nolan,40303.92679019999,4
Ashleigh Kuvalis,64906.423964,0
Lourdes Wisozk,29157.242600300004,1
Raquel Abbott,85302.70902410001,2
Miller Upton,48400.8636497,5
Zachariah Bechtelar,44167.918279699996,6
Stanley Wilderman,15211.946980300001,3
Johathan Auer,68599.9746911,4
Buster Hane,39913.3219286,3
Araceli Haag,61495.29822969999,1
Eladio Stroman,60948.68690880001,2
Dulce Schaden,65141.039643,4
Abagail Dare,79467.7113844,1
Viva Schulist,27625.277417799996,3
Shyanne Prohaska,76177.545473,6
Monty Schoen,47192.0829711,6
Alize Greenfelder,64157.9095829,2
Domenico Boyer,48832.83852119999,2
Virgil Murazik,61650.843074599994,5
Earline Olson,81068.18861699999,3
Ava Pacocha,57458.411187699996,5
Terrill Lebsack,90257.3424521,3
Gladys Borer,49918.0861677,3
Maybelle Schiller,55592.12024430001,5
Chad Casper,71869.5334955,2
Bettye Cummings,49691.4950867,4
Camren Koepp,50630.7629786,2
Ibrahim McGlynn,55636.492759500004,4
Sydnie Lowe,63386.2594805,2
Santina Kirlin,56615.10796950001,0
Amir Rutherford,81668.6241908,1
Ladarius Macejkovic,96250.3535038,4
Else Dibbert,25843.7705982,3
Amira Spencer,64772.9938145,5
Verda McDermott,37236.908711300006,2
Beverly Pouros,55122.19431819999,5
Hope Block,82766.4399584,2
Alysson Swaniawski,72941.5362378,4
Tamara Ritchie,72258.1585397,6
Maymie Graham,75051.47555569999,3
Emory Kautzer,13567.314696399999,4
Jayde Wisoky,30705.9487768,4
Liza Streich,53887.9917599,5
Holden Halvorson,43460.04496680001,3
Zack Hahn,67780.8612956,1
Kaela Mertz,29883.7808517,5
Laurence Auer,62452.7055393,4
Wava Romaguera,42299.12975,1
Annalise Nienow,37171.929072900006,6
Jamaal Osinski,102777.704853,10
Favian Cormier,62214.0293602,2
Emmanuelle Wisozk,83038.3061927,2
Palma Gleichner,63037.04168359999,1
Allan Huels,52675.111157499996,1
Ressie Denesik,65460.7917278,5
Frances Connelly,53491.6992902,0
Verner Bechtelar,50767.293650199994,4
Arno Torp,55446.2460772,5
Dovie Auer,83561.5689983,6
Dawson Schuppe,31254.084855299996,3
Akeem Pfannerstill,26974.3379311,2
Brisa Rath,39760.054135000006,3
Riley Murray,67657.0857155,2
Kelli Zemlak,62647.1557385,3
Sammy Turner,22376.601571400002,4
Bettie Witting,43079.3634655,3
Breana Gottlieb,41255.6678519,0
Claire O'Hara,44957.4120028,1
Margaret Bartell,73767.4286578,3
Donato Mueller,35177.4645238,1
Roger Will,23244.999001099997,7
Turner Stamm,58009.564373099995,0
Simone Bogisich,59746.169797899995,8
Helena Kunde,57660.4319673,2
Salma Parisian,34893.45337830001,4
Abdul Crooks,38581.7791509,3
Brady Prosacco,69281.324534,1
Lance Crooks,66157.1963212,4
Emie Hansen,75140.5711447,2
Torrance Marquardt,49592.075013099995,3
Myrna Barton,53852.4403867,4
Morris Thiel,40272.1841174,3
Christ Cummings,50584.7817435,1
